line
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1 0 1 8 9 8 9 9 3 5 9 3 8 11 38 3 9 4 6 4 1
2 9 0 4 9 7 6 9 3 1 11 2 3 7 8 9 5 4 4 3 8
3 7 3 9 1 3 4 8 9 5 0 7 9 8 3 5 7 1 2 3 5
4 2 1 8 0 8 9 9 3 5 9 3 8 11 38 3 9 4 6 4 1
5 9 6 4 9 0 6 9 8 1 1 2 3 7 8 9 5 4 4 3 8
6 7 3 9 1 3 0 8 6 5 7 7 9 8 3 5 7 1 2 3 5
7 8 8 3 7 0 0 10 8 9 7 21 3 9 0 50 2 4 8 9 10
8 3 1 8 9 8 9 9 0 5 9 3 8 11 38 3 9 4 6 4 1
9 9 6 4 9 7 6 9 8 0 1 2 3 8 8 9 5 4 4 3 8
10 7 3 0 1 3 4 8 6 5 7 7 9 8 3 50 7 1 2 3 5
11 8 8 3 7 0 10 12 8 3 7 0 3 9 0 50 2 4 8 9 10
12 9 6 4 9 7 6 9 8 1 1 2 3 0 8 2 5 14 4 3 8
13 4 1 8 9 8 9 9 3 5 9 3 0 11 38 3 9 4 6 4 1
14 7 3 9 1 3 4 8 6 5 7 7 9 8 1 5 7 1 2 3 5
15 5 1 8 9 8 9 9 3 5 9 3 8 11 38 0 9 4 6 4 1
16 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50
